trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
TE SIGO JOS,http://twitter.com/search?q=%22TE+SIGO+JOS%22,NA,%22TE+SIGO+JOS%22,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
#5SOS5,http://twitter.com/search?q=%235SOS5,NA,%235SOS5,53025,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
SEGUIMOS A JOS,http://twitter.com/search?q=%22SEGUIMOS+A+JOS%22,NA,%22SEGUIMOS+A+JOS%22,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
#JUNs_LIMBO_ESCAPE,http://twitter.com/search?q=%23JUNs_LIMBO_ESCAPE,NA,%23JUNs_LIMBO_ESCAPE,46322,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
#SurvivorEliminación,http://twitter.com/search?q=%23SurvivorEliminaci%C3%B3n,NA,%23SurvivorEliminaci%C3%B3n,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
#준휘의_림보세계의_문을열어,http://twitter.com/search?q=%23%EC%A4%80%ED%9C%98%EC%9D%98_%EB%A6%BC%EB%B3%B4%EC%84%B8%EA%B3%84%EC%9D%98_%EB%AC%B8%EC%9D%84%EC%97%B4%EC%96%B4,NA,%23%EC%A4%80%ED%9C%98%EC%9D%98_%EB%A6%BC%EB%B3%B4%EC%84%B8%EA%B3%84%EC%9D%98_%EB%AC%B8%EC%9D%84%EC%97%B4%EC%96%B4,42859,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
#PregúntaleAInvictos,http://twitter.com/search?q=%23Preg%C3%BAntaleAInvictos,NA,%23Preg%C3%BAntaleAInvictos,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Steelers,http://twitter.com/search?q=Steelers,NA,Steelers,122985,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Trubisky,http://twitter.com/search?q=Trubisky,NA,Trubisky,19618,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Meredith,http://twitter.com/search?q=Meredith,NA,Meredith,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Tomlin,http://twitter.com/search?q=Tomlin,NA,Tomlin,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
MÍA MÍA IS COMING,http://twitter.com/search?q=%22M%C3%8DA+M%C3%8DA+IS+COMING%22,NA,%22M%C3%8DA+M%C3%8DA+IS+COMING%22,48174,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Merlon,http://twitter.com/search?q=Merlon,NA,Merlon,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Lucas Rodríguez,http://twitter.com/search?q=%22Lucas+Rodr%C3%ADguez%22,NA,%22Lucas+Rodr%C3%ADguez%22,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Pickett,http://twitter.com/search?q=Pickett,NA,Pickett,11571,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Cuchao,http://twitter.com/search?q=Cuchao,NA,Cuchao,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
KENIA OS EN TIMES SQUARE,http://twitter.com/search?q=%22KENIA+OS+EN+TIMES+SQUARE%22,NA,%22KENIA+OS+EN+TIMES+SQUARE%22,16510,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Pittsburgh,http://twitter.com/search?q=Pittsburgh,NA,Pittsburgh,22195,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Guamúchil,http://twitter.com/search?q=Guam%C3%BAchil,NA,Guam%C3%BAchil,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Matt Canada,http://twitter.com/search?q=%22Matt+Canada%22,NA,%22Matt+Canada%22,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Florence,http://twitter.com/search?q=Florence,NA,Florence,34049,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Kenta,http://twitter.com/search?q=Kenta,NA,Kenta,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Marietto,http://twitter.com/search?q=Marietto,NA,Marietto,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
JUNHUI,http://twitter.com/search?q=JUNHUI,NA,JUNHUI,50017,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Michael,http://twitter.com/search?q=Michael,NA,Michael,198571,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Don't Worry Darling,http://twitter.com/search?q=%22Don%27t+Worry+Darling%22,NA,%22Don%27t+Worry+Darling%22,22720,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Nick Chubb,http://twitter.com/search?q=%22Nick+Chubb%22,NA,%22Nick+Chubb%22,11021,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
CALUM,http://twitter.com/search?q=CALUM,NA,CALUM,11076,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
George Pickens,http://twitter.com/search?q=%22George+Pickens%22,NA,%22George+Pickens%22,40383,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Chacho,http://twitter.com/search?q=Chacho,NA,Chacho,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Dahmer,http://twitter.com/search?q=Dahmer,NA,Dahmer,122065,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
NUEVA ERA KENIA OS,http://twitter.com/search?q=%22NUEVA+ERA+KENIA+OS%22,NA,%22NUEVA+ERA+KENIA+OS%22,12596,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
ASHTON,http://twitter.com/search?q=ASHTON,NA,ASHTON,14777,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Future Islands,http://twitter.com/search?q=%22Future+Islands%22,NA,%22Future+Islands%22,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Ramos,http://twitter.com/search?q=Ramos,NA,Ramos,130753,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Chumel,http://twitter.com/search?q=Chumel,NA,Chumel,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Cleveland,http://twitter.com/search?q=Cleveland,NA,Cleveland,37134,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Einstein,http://twitter.com/search?q=Einstein,NA,Einstein,13944,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
Manuel Turizo,http://twitter.com/search?q=%22Manuel+Turizo%22,NA,%22Manuel+Turizo%22,NA,Mexico,23424900,2022-09-23T10:15:05Z,2022-09-21T15:08:32Z
